trial,ts_iso,compute_s,auth_s,cpu_percent,mem_percent
176,2025-10-21T15:33:12,0.001296,0.022158,6.2,43.1
177,2025-10-21T15:33:12,0.00131,0.021626,24.2,43.1
178,2025-10-21T15:33:12,0.001009,0.018034,6.2,43.1
179,2025-10-21T15:33:12,0.001432,0.019364,6.2,43.1
180,2025-10-21T15:33:12,0.001088,0.018162,42.4,43.1
181,2025-10-21T15:33:12,0.001208,0.018077,12.5,43.1
182,2025-10-21T15:33:12,0.001186,0.018681,18.8,43.1
183,2025-10-21T15:33:12,0.00141,0.018496,25.0,43.1
184,2025-10-21T15:33:12,0.001067,0.021455,8.3,43.1
185,2025-10-21T15:33:12,0.001032,0.018996,12.5,43.1
186,2025-10-21T15:33:12,0.001137,0.018418,23.3,43.1
187,2025-10-21T15:33:12,0.001322,0.018543,11.1,43.1
188,2025-10-21T15:33:12,0.001009,0.018121,12.5,43.1
189,2025-10-21T15:33:12,0.001056,0.018815,37.5,43.1
190,2025-10-21T15:33:12,0.001327,0.019524,44.1,43.1
191,2025-10-21T15:33:12,0.001016,0.019864,56.2,43.1
192,2025-10-21T15:33:12,0.001137,0.020766,23.1,43.1
193,2025-10-21T15:33:12,0.001016,0.01922,9.1,43.1
194,2025-10-21T15:33:12,0.001149,0.01954,23.5,43.1
195,2025-10-21T15:33:12,0.001052,0.018162,37.5,43.0
196,2025-10-21T15:33:12,0.001202,0.018321,46.9,43.0
197,2025-10-21T15:33:12,0.001207,0.019479,25.0,43.1
198,2025-10-21T15:33:12,0.001026,0.019029,56.2,43.1
199,2025-10-21T15:33:12,0.001017,0.021109,28.1,43.0
200,2025-10-21T15:33:12,0.001072,0.019443,50.0,43.1
201,2025-10-21T15:33:12,0.00093,0.020446,45.2,43.1
202,2025-10-21T15:33:12,0.001008,0.018601,5.9,43.0
203,2025-10-21T15:33:12,0.000983,0.018652,47.1,43.1
204,2025-10-21T15:33:12,0.001418,0.018963,43.8,43.1
205,2025-10-21T15:33:12,0.000938,0.018156,37.5,43.1
206,2025-10-21T15:33:13,0.001068,0.018286,12.5,43.0
207,2025-10-21T15:33:13,0.001381,0.018653,12.5,43.1
208,2025-10-21T15:33:13,0.001267,0.0189,24.1,43.1
209,2025-10-21T15:33:13,0.001041,0.019749,15.8,43.1
210,2025-10-21T15:33:13,0.001215,0.020304,12.5,43.1
211,2025-10-21T15:33:13,0.001228,0.017837,46.2,43.1
212,2025-10-21T15:33:13,0.000974,0.018045,14.3,43.1
213,2025-10-21T15:33:13,0.001105,0.019841,5.9,43.1
214,2025-10-21T15:33:13,0.001048,0.019103,37.5,43.1
215,2025-10-21T15:33:13,0.001454,0.019886,66.7,43.1
216,2025-10-21T15:33:13,0.001159,0.018325,31.2,43.1
217,2025-10-21T15:33:13,0.001053,0.018397,31.2,43.1
218,2025-10-21T15:33:13,0.001195,0.018975,9.4,43.1
219,2025-10-21T15:33:13,0.001066,0.018316,6.2,43.1
220,2025-10-21T15:33:13,0.001051,0.026817,88.6,43.1
221,2025-10-21T15:33:13,0.000831,0.018442,50.0,43.0
222,2025-10-21T15:33:13,0.001007,0.017361,6.7,43.0
223,2025-10-21T15:33:13,0.001198,0.018745,39.1,43.1
224,2025-10-21T15:33:13,0.001256,0.018199,3.8,43.1
225,2025-10-21T15:33:13,0.000971,0.018738,31.2,43.1
226,2025-10-21T15:33:13,0.000995,0.018877,6.2,43.1
227,2025-10-21T15:33:13,0.00118,0.020229,27.3,43.1
228,2025-10-21T15:33:13,0.000974,0.021336,37.5,43.1
229,2025-10-21T15:33:13,0.001111,0.020099,17.2,43.1
230,2025-10-21T15:33:13,0.00109,0.020515,42.1,43.1
231,2025-10-21T15:33:13,0.000986,0.018143,18.8,43.1
232,2025-10-21T15:33:13,0.001065,0.018001,18.8,43.1
233,2025-10-21T15:33:13,0.00109,0.017742,32.3,43.1
234,2025-10-21T15:33:13,0.001187,0.018541,23.5,43.1
235,2025-10-21T15:33:13,0.000942,0.018012,6.2,43.1
236,2025-10-21T15:33:13,0.001155,0.019492,46.4,43.1
237,2025-10-21T15:33:13,0.001211,0.019535,22.7,43.1
238,2025-10-21T15:33:13,0.001289,0.018231,31.2,43.1
239,2025-10-21T15:33:13,0.001091,0.019592,30.3,43.1
240,2025-10-21T15:33:13,0.001051,0.018876,12.5,43.1
241,2025-10-21T15:33:13,0.000957,0.01738,31.2,43.1
242,2025-10-21T15:33:13,0.001244,0.017868,6.2,43.1
243,2025-10-21T15:33:13,0.001228,0.018708,21.9,43.1
244,2025-10-21T15:33:13,0.001093,0.018454,18.8,43.1
245,2025-10-21T15:33:13,0.001154,0.01928,66.7,43.1
246,2025-10-21T15:33:13,0.001492,0.020324,31.2,43.1
247,2025-10-21T15:33:13,0.001029,0.019219,17.6,43.1
248,2025-10-21T15:33:13,0.001019,0.018671,18.8,43.1
249,2025-10-21T15:33:13,0.001375,0.018952,20.0,43.1
250,2025-10-21T15:33:13,0.001146,0.019197,52.2,43.1
251,2025-10-21T15:33:13,0.001333,0.018009,6.2,43.1
252,2025-10-21T15:33:13,0.001078,0.01794,43.8,43.1
253,2025-10-21T15:33:13,0.001152,0.018942,13.8,43.1
254,2025-10-21T15:33:13,0.000965,0.018791,5.3,43.1
255,2025-10-21T15:33:14,0.001251,0.018588,6.7,43.1
256,2025-10-21T15:33:14,0.001051,0.017732,41.2,43.1
257,2025-10-21T15:33:14,0.001105,0.017252,25.0,43.1
258,2025-10-21T15:33:14,0.000997,0.01868,12.5,43.1
